Dy,BART,BARTp,BARTpadj,CCT,CCTn,CCTnadj,CCTr,CCTradj,DFEss,DFEr,DFEre,DFD,DFDr,LOT,LOTr,LOTcv,MPL,MPLr,MT,MTr,VRTTT,GABS,SOEP,SOEPdri,SOEPfin,SOEPrec,SOEPocc,SOEPhea,SOEPsoc,Deth,Dinv,Dgam,Dhea,Drec,Dsoc,Deth_r,Dinv_r,Dgam_r,Dhea_r,Drec_r,Dsoc_r,Deth_b,Dinv_b,Dgam_b,Dhea_b,Drec_b,Dsoc_b,PRI,PRIw,BIS1att,BIS1mot,BIS1ctr,BIS1com,BIS1per,BIS1ins,BISa,BISm,BISn,BIS,SStas,SSexp,SSdis,SSbor,SSSV,age,sex,loc,ses,ses_moth,ses_fath,sibl,sibl_y,sibl_o,birthrank,edu,income,NUM,MUpc,OSpcL,SSpcL,SSTM,WMC,NEO_A,NEO_C,NEO_E,NEO_N,NEO_O,STAI_trait,gen_valence,gen_arousal,gen_arouspos,gen_arousneg,gen_happy,gen_afraid,gen_sad,gen_angry,gen_motivat,gen_concentr,gen_timepr,gen_tired,pre_valence,pre_arousal,pre_arouspos,pre_arousneg,pre_happy,pre_afraid,pre_sad,pre_angry,pre_motivat,pre_concentr,pre_timepr,pre_tired,mid1_valence,mid1_arousal,mid1_arouspos,mid1_arousneg,mid1_happy,mid1_afraid,mid1_sad,mid1_angry,mid1_motivat,mid1_concentr,mid1_timepr,mid1_tired,mid2_valence,mid2_arousal,mid2_arouspos,mid2_arousneg,mid2_happy,mid2_afraid,mid2_sad,mid2_angry,mid2_motivat,mid2_concentr,mid2_timepr,mid2_tired,post_valence,post_arousal,post_arouspos,post_arousneg,post_happy,post_afraid,post_sad,post_angry,post_motivat,post_concentr,post_timepr,post_tired,ABCTEU_OS,ABCTEU_CS,ABCTEU_DEV,ABCTEU_BIC,ABCT4P_OS,ABCT4P_PW,ABCT4P_LA,ABCT4P_CS,ABCT4P_DEV,ABCT4P_BIC,ABCT6P_OSg,ABCT6P_OSl,ABCT6P_PWg,ABCT6P_PWl,ABCT6P_LA,ABCT6P_CS,ABCT6P_DEV,ABCT6P_BIC,ABCTRN_DEV,MPLEU_OS,MPLEU_CS,MPLEU_DEV,MPLEU_BIC,MPL4P_OS,MPL4P_PW,MPL4P_LA,MPL4P_CS,MPL4P_DEV,MPL4P_BIC,MPL6P_OSg,MPL6P_OSl,MPL6P_PWg,MPL6P_PWl,MPL6P_LA,MPL6P_CS,MPL6P_DEV,MPL6P_BIC,MPLRN_DEV,CCTEU_OS,CCTEU_CS,CCTEU_DEV,CCTEU_BIC,CCT3P_OS,CCT3P_PW,CCT3P_LA,CCT3P_DEV,CCT3P_BIC,CCT4P_OS,CCT4P_PW,CCT4P_LA,CCT4P_CS,CCT4P_DEV,CCT4P_BIC,CCT6P_OSg,CCT6P_OSl,CCT6P_PWg,CCT6P_PWl,CCT6P_LA,CCT6P_CS,CCT6P_DEV,CCT6P_BIC,CCTRN_mp,CCTRN_DEV,CCTRN_BIC,BARTRN_pm,BARTRN_DEV,BARTRN_BIC,BART1_OS,BART1_alpha,BART1_mu,BART1_LA,BART1_CS,BART1_DEV,BART1_BIC,BART3_OS,BART3_alpha,BART3_mu,BART3_CS,BART3_DEV,BART3_BIC
35,36.86,36.86,39.56,411,411,215,0.1855081,0.24315955,28,0.38,0.43,0.75,0.75,0.54,0.54,0.32,7,7,0.7039800995024875,0.7039800995024875,9.56,1,7,1,3,8,7,8,11,2.25,1,1,3.5,3.375,3.625,4,3.5,5,2.875,3.375,1.75,2.75,1,1,1.875,3.125,3.125,3,19,12,18,16,14,9,8,20,27,30,77,19,20,14,15,68,26,0,0,6,6,4,1,0,1,2,2,1,2,0.5722222222222222,0.6754761904761905,0.6563492063492063,0.7232142857142857,-0.2567687866161451,29,31,33,14,32,33,67,44,72,34,61,15,36,16,65,58,55,81,55,38,12,9,59,5,16,4,64,66,43,62,47,57,12,10,44,5,5,6,59,72,7,84,40,61,15,9,48,2,4,7,48,62,7,93,44,70,4,34,50,0,9,15,6,82,21,96,0.56179216,0.87285563,53.331758,61.155804,0.64710573,0.75771432,1.2208485,0.71140062,51.302511,66.950603,0.93043672,0.52701812,0.79119204,0.72581827,10,0.18249779,48.841683,72.313821,69.314718,0.65548102,0.45507855,68.405191,76.7845,2.964487,2.0143209,7.3034033,8.3736266e-5,24.701155,41.459774,0.86296728,1.1804724,1.5729215,0.23600682,0.61098006,1.2151443,22.159484,47.297412,91.495428,0.05407737,3.986681,235.17634,244.03797,0.06804438,0.24681912,0.61663566,201.70829,215.00074,0.068030658,0.24678992,0.61664948,10,201.70829,219.43156,0.086857526,0.0094305345,0.19585254,0.43348643,0.45654497,10,201.37343,227.95834,0.92776954,229.8121,234.24291,0.97385216,416.77281,420.14011,0.57037056,114.42541,114.48484,7.9231051,10,144.765,161.60148,0.70929372,206.04078,206.81689,0.10982862,146.71022,160.1794
33,51.57,51.57,63.33,568,568,138,0.266284,0.53611266,17,0.62,0.5,0.625,0.625,0.7,0.7,0.34,6,6,0.738805970149254,0.738805970149254,10.6,0,3,8,2,1,6,4,2,2.25,1.75,1,3.625,2.875,2.875,3.25,3,3.75,3.125,2.875,2.5,2.5,1,1.25,2.25,3,3.75,4,13,14,13,21,13,9,7,21,22,34,77,15,20,15,14,64,24,1,0,10,9,5,2,1,1,2,1,0,2,0.6177777777777778,0.6955555555555556,0.5126984126984127,0.8482142857142857,-0.14526880459112115,39,17,22,31,36,53,10,29,11,81,25,69,84,67,19,30,80,62,36,33,16,31,35,31,50,7,70,80,24,19,39,29,38,27,34,13,43,12,32,32,13,40,11,64,0,80,12,37,80,91,20,30,30,20,25,19,6,17,24,16,76,24,31,73,29,19,1.6065906,0.0063542347,50.531653,58.355699,1.8565338,0.78188577,0.14976491,0.013283009,35.017241,50.665333,1.9316643,1.0626892,0.77279663,0.96077226,10,0.017975705,24.385913,47.858052,69.314718,0.50917061,2.0087941,48.053473,56.432783,0.79901432,0.75240669,1.4936156,1.1829306,28.194655,44.953274,0.38658471,0.40508353,10,0.64447238,2.1002904,6.3182427,22.457567,47.595495,91.495428,5.679851e-10,4.0353885,221.52144,230.38308,0.016186985,0.15437109,0.13357772,89.155358,102.44781,0.0044044164,0.18362532,4.2714876e-9,8.3277429,89.136245,106.85951,2.1769808e-11,4.1182844,0.18005883,1.4558832,10,8.7901113,85.455852,112.04075,0.98440594,92.750002,97.180819,0.98309366,476.72639,480.12759,1.6753058,7788.7004,7793.7107,0.313811,7.4753922,125.85388,142.85987,0.39905863,9257.8645,9287.3894,0.085001482,130.44787,144.05266
37,33.1,33.1,35.48,349,349,195,0.18011335,0.20962817,24,0.5,0.5,0.5,0.5,0.5,0.5,0.34,2,2,0.7649253731343285,0.7649253731343285,10.85,0,8,7,2,5,7,8,7,3.125,1,1,3.875,2.5,3.25,2.75,4,4.25,2.5,2.625,2,3.75,1,1.25,2.75,2.5,2,5,25,11,17,17,14,11,5,16,28,31,75,16,18,15,11,60,24,0,0,5,6,7,1,0,1,2,1,2,1,0.81,0.8953968253968254,0.8682539682539683,0.9642857142857143,1.2897847151027595,27,13,32,9,33,37,20,39,54,53,56,19,56,41,71,54,30,59,74,29,20,30,47,18,39,10,69,59,19,61,19,69,16,75,34,33,15,79,63,82,63,30,55,80,41,57,54,7,26,22,71,88,70,18,41,61,18,64,36,20,38,56,63,91,21,11,0.85442768,0.25726523,50.407193,58.231239,0.92842661,0.89832411,0.98580308,0.20007352,50.072816,65.720908,1.2130653,0.74968862,0.96650401,0.79816919,10,0.061906981,45.474486,68.946624,69.314718,0.4670328,1.4904577,63.680678,72.059987,0.52904923,0.35688272,1.3463269,6.3619609,22.799928,39.558547,0.43999651,0.33601419,0.66125219,0.025753666,2.7142825,10,19.949995,45.087924,91.495428,0.013232985,2.4209178,314.17498,323.03662,0.035229806,1.4803103e-10,0.24963464,219.14361,232.43606,0.035225075,7.2222228e-11,0.24964592,10,219.14361,236.86687,1.5104666e-7,0.2963784,0.0031661379,0.036048748,0.54154287,9.9999992,216.38759,242.97249,0.91601729,219.76582,224.19664,0.96997688,350.2687,353.66989,0.5911248,108.9005,109.92814,9.2250603,9.8937883,157.62821,174.63419,0.49599742,115.72635,116.93874,0.19085585,156.70826,170.31305
37,37.03,37.03,38.1,507,507,250,0.23490328,0.26391171,4.62,0.38,0,0.75,0.75,0.4,0.4,0.36,3,3,0.7462686567164181,0.7462686567164181,7.88,0,5,5,5,8,6,5,4,1.5,3,1,2.5,2.875,3.125,3.75,3,5,4,3.75,2.625,2.5,2.25,1,1.5,2.5,2.625,4,18,8,15,10,11,6,5,13,21,21,55,18,18,14,12,62,24,1,0,8,4,2,3,3,0,1,2,1,3,0.8166666666666667,0.6467460317460317,0.616984126984127,0.9017857142857143,0.5236231822307771,33,41,38,8,36,30,59,36,80,14,63,0,21,10,66,40,31,37,60,39,39,0,49,0,0,0,69,61,29,71,60,59,60,0,40,0,0,0,65,80,31,10,30,72,42,58,47,0,2,59,43,39,57,44,49,30,62,0,55,0,0,0,31,29,0,74,0.9124891,0.18425884,49.092603,56.916649,0.60063,1.7533917,2.3145355,0.56600179,38.564544,54.212636,0.52662497,0.70174174,2.3543067,1.7319787,1.00811,0.73576742,38.445987,61.918125,69.314718,0.3891563,2.2888329,63.673842,72.053152,0.44624486,0.41984919,1.2986739,4.3412313,43.399973,60.158592,0.36022565,0.11465081,0.86112568,5.9323372e-7,9.998897,7.7267143,38.178435,63.316363,91.495428,1.774203e-10,3.1103754,292.83984,301.70147,0.011897756,0.14066377,0.57988398,233.57652,246.86897,0.011899781,0.1406593,0.57987324,10,233.57652,251.29979,2.7563817e-4,0.019026251,0.20631755,9.2964283e-4,0.66645359,9.3587797,232.32318,258.90808,0.93714759,253.97699,258.4078,0.96495764,710.68699,714.08819,0.92660064,438.99962,439.39475,5.8966102,7.9115289,157.19506,174.20105,0.1886437,1147.4748,1149.6626,0.15585279,150.82056,164.42535
40,41.43,41.43,47.12,387,387,265,0.16540617,0.18923688,24,0.5,0.5,0.25,0.25,0.38,0.38,0.38,6,6,0.6902985074626865,0.6902985074626865,7.13,0,8,5,5,7,6,7,7,2.875,1,1.25,3.75,2.875,4.125,2.875,3,2.5,3.125,3,1.625,2.75,1.5,1.25,1.75,2.625,2.5,7,42,11,20,17,15,9,7,18,29,32,79,17,20,16,16,69,25,0,0,5,2,2,2,1,1,2,2,0,0,0.5277777777777778,0.803015873015873,0.7787301587301587,0.8928571428571429,0.2412854055180487,36,27,41,12,26,29,85,59,82,20,85,18,17,21,76,79,65,22,68,40,66,26,74,27,20,28,69,73,13,82,78,70,68,28,69,17,24,36,77,81,63,25,83,58,58,23,79,17,12,21,66,74,60,29,61,63,55,41,71,0,8,20,43,61,68,71,1.2262076,0.044486642,48.843956,56.668002,1.279181,0.83726617,2.3341348,0.047226873,37.679778,53.32787,0.78053383,1.4840135,0.92833797,0.81952337,0.08309526,0.64443175,33.369339,56.841477,69.314718,0.31581165,0.7320109,87.200388,95.579697,0.30858765,0.31083578,1.1787747,2.0919395,84.651278,101.4099,0.098849649,0.15594186,9.999914,0.24467597,1.2254522,7.5084397,82.303293,107.44122,91.495428,0.041871666,3.4332795,258.23546,267.09709,0.023771965,0.19335797,0.86801883,252.98153,266.27398,0.023754346,0.19333419,0.86802652,10,252.98153,270.70479,1.5321078e-13,0.33339513,0.089453322,0.83603569,1.4653565,7.2700181,250.5437,277.1286,0.89169251,297.66807,302.09889,0.9723019,530.39952,533.80071,0.81297959,155.62646,157.16154,2.7438176,9.4640755,136.32669,153.33268,0.78449513,322.65704,325.86915,0.11748568,135.71652,149.32131
36,50.03,50.03,59.6,410,410,237,0.18761564,0.2064405,13.88,0.5,0.5,0.375,0.375,0.42,0.42,0.34,7,7,0.736318407960199,0.736318407960199,6.61,1,7,1,2,7,4,3,5,1.5,1,1,2.75,2.5,2.375,2.5,3.5,2,3,3,1.875,2.625,1.25,1,1.5,1.625,2.75,2,14,9,13,13,10,7,5,14,20,23,57,17,17,18,14,66,26,1,0,3,7,6,1,1,0,1,3,1,2,0.41777777777777775,0.876031746031746,0.7195238095238096,0.875,-0.05686007007888638,32,42,30,15,23,32,80,9,70,25,90,22,0,0,100,91,90,61,20,68,40,49,60,32,31,60,69,90,50,58,40,60,41,50,47,47,61,54,79,70,46,55,75,59,59,41,62,10,41,31,70,80,20,60,40,24,44,39,27,39,34,61,73,73,58,65,1.2183717,0.081383059,34.849572,42.673618,0.90921916,1.0928818,2.7857941,0.60267169,14.110507,29.758599,0.72174228,0.95110685,1.0931811,1.0994188,0.89559727,1.6146862,13.863763,37.335901,69.314718,0.3235888,0.072584645,91.440323,99.819632,1.1590979,0.64740776,3.5277742,0.050814861,51.87101,68.629629,1.0286142,0.713313,0.12790996,0.67482123,10,0.14193079,46.523908,71.661837,91.495428,0.14748577,5.2181488,276.06573,284.92736,0.080860814,0.2321919,0.6443312,245.11438,258.40683,0.080847126,0.23217127,0.64435636,10,245.11438,262.83765,0.052622099,0.085644211,0.29155767,0.051509469,0.7997985,10,244.92691,271.51181,0.91110749,269.9636,274.39441,0.97092503,642.29618,645.69738,1.9053431,0.011302658,0.011153617,0.028566727,8.0948288,119.18408,136.19007,0.74152058,27.561947,27.740986,0.11721281,120.96129,134.56608
27,21.6,21.6,22.11,36,36,31,0.020242123,0.013100494,1.88,0.75,NaN,0.5,0.5,0.52,0.52,0.58,4,4,0.722636815920398,0.722636815920398,5.35,1,2,1,2,5,5,1,3,1.5,1,1,2,1.5,3,4.125,3.5,4.75,4.125,3.625,2.625,1.25,1.75,1.25,1,1.25,2,1,7,10,13,9,13,5,6,16,18,22,56,10,13,13,14,50,33,0,0,5,4,4,2,0,2,3,3,2,0,0.26222222222222225,0.2926190476190476,0.10801587301587301,0.7053571428571429,-2.341501102105697,24,29,26,29,22,45,71,59,59,41,69,79,20,39,60,79,70,69,69,61,61,40,71,41,10,10,79,88,79,10,80,54,59,6,75,17,10,12,81,80,85,9,80,39,59,9,79,20,10,19,79,79,78,11,58,32,32,25,66,28,36,32,40,46,75,60,0.96934643,0.0064642919,69.179157,77.003203,1.5610934,0.33319553,10,6.5630226e-4,62.226744,77.874836,0.035343121,1.4658988,2.7500066,0.34030744,9.7894232,0.0011306149,61.450124,84.922262,69.314718,0.07098764,9.4368957e-15,91.495428,99.874737,1.034068,0.1525422,10,0.059041403,19.70315,36.461769,0.19099274,9.9996583,2.4324257,1.801477,1.7887913e-10,10,7.7575126,32.895441,91.495428,4.0104474,10,159.68607,168.5477,0.05030548,0.11757509,1.5118085000000001,132.17735,145.4698,0.050289657,0.11755607,1.5117747,10,132.17735,149.90061,0.032260758,0.048307667,0.23943964,5.0751907e-7,1.6951983,9.9999776,130.39554,156.98044,0.31032847,143.6953,148.12612,0.91720309,710.44605,713.84724,0.2376721,9642.6613,9949.7865,9.9896526,7.7976488,214.89474,231.90073,0.099297399,340.54028,341.44618,0.10910365,201.30773,214.91252
28,24.14,24.14,25.43,154,154,106,0.086520923,0.07939335,18.38,0.62,0.6,0.25,0.25,0.44,0.44,0.36,3,3,0.742537313432836,0.742537313432836,7.86,0,6,3,2,7,7,3,6,1.25,1.75,1,1.125,1.125,3.5,3,3,3.5,4,3.75,2,1.75,1,1,1.125,2,3.5,2,8,8,11,12,8,11,9,17,22,20,59,14,14,13,16,57,24,0,0,7,5,3,0,0,0,1,2,0,0,0.43444444444444447,0.955952380952381,0.8722222222222222,0.8035714285714286,0.2020461249306007,33,30,22,26,25,45,80,55,90,1,71,70,21,31,100,80,30,10,100,0,0,0,79,0,0,0,69,100,0,11,89,81,80,0,80,0,0,0,100,100,0,0,80,20,47,9,78,0,1,1,100,98,0,10,60,52,54,0,71,0,0,0,80,80,0,39,0.76877364,0.43378191,43.997807,51.821853,0.94885699,0.72349851,0.61794211,0.39195783,36.951164,52.599256,0.58492542,3.0449521,0.78865008,0.92961146,3.5609379e-6,2.8125934,33.657998,57.130136,69.314718,1.0064165,0.57767065,25.731157,34.110467,0.91230339,0.33840065,0.95153284,9.5939604,11.890791,28.64941,0.76440184,0.81397462,0.53799668,5.7770455e-11,0.85272448,10,10.612175,35.750103,91.495428,0.56104413,10,232.92776,241.7894,0.19544565,0.19520911,0.71052701,217.49698,230.78943,0.19541799,0.19517783,0.71054331,10,217.49698,235.22025,0.10431181,0.82280695,0.07006763,0.64515423,2.5652493,7.4590496,209.3134,235.8983,0.75488953,227.20926,231.64007,0.95255436,313.8776,317.24489,1.6244555,334.44644,344.2504,0.21583805,9.9686084,115.466,132.30247,0.51476699,691.43354,705.99114,0.51674712,114.48218,127.95137
34,37.4,37.4,38.21,340,340,126,0.17473768,0.13681895,13.88,0.38,0.57,0.625,0.625,0.62,0.62,0.58,5,5,0.7562189054726369,0.7562189054726369,9.4,1,8,4,7,8,7,8,7,2.25,3.5,4.25,3.125,4.125,4.25,3.25,2.25,2.25,3,2.375,1.625,2.25,4,3,2.125,3.875,3.75,7,43,10,19,13,9,7,5,15,26,22,63,20,14,19,15,68,26,1,0,3,4,3,1,0,1,2,2,1,2,0,0.8443650793650793,0.8162698412698413,0.8482142857142857,-1.0082891570374135,27,30,39,4,25,27,88,35,65,19,88,20,7,4,96,82,25,21,65,15,30,3,64,0,0,0,68,64,9,66,36,41,23,73,40,0,13,65,40,43,32,59,78,29,56,14,65,0,0,0,64,76,4,23,85,12,48,0,75,0,0,4,57,78,6,41,0.014024692,0,69.314718,77.138764,0.8190428,0.23406213,0.46705148,0.30868511,58.697653,74.345745,1.1030639,0.52724198,0.26298355,0.21904677,10,0.077977338,57.736195,81.208333,69.314718,2.7005231,9.0223846e-4,22.672732,31.052042,0.62712952,3.2376898,0.6542081,4.73146,9.1861892,25.944808,0.72200782,1.1532848,2.7790147,2.2383002,0.11254967,9.9999997,3.0957604,28.233689,91.495428,0.38134267,10,280.09006,288.95169,0.18424266,0.1906622,0.24774293,207.1247,220.41715,0.18426091,0.19070005,0.24774879,10,207.1247,224.84796,0.077870082,0.73533595,0.25635801,4.7057358e-10,1.3573491,10,174.31559,200.90049,0.91398559,218.16691,222.59773,0.97999997,274.50952,277.91071,1.2986206,0.10220884,0.019252531,0.4691859,6.8406879,122.66428,139.67026,0.5320231,73.285585,74.269414,0.38030181,106.16429,119.76908
31,42.17,42.17,47.74,277,277,119,0.14679683,0.10169915,54.5,0.38,0.5,0.5,0.5,0.48,0.48,0.22,3,3,0.72636815920398,0.72636815920398,9.72,1,8,10,6,8,7,8,10,2.5,2.75,1,2.75,2.5,3.375,3.375,3,3,2.875,3.125,2.5,2.625,2.75,1.75,2,2.375,3.25,6,29,12,14,19,13,8,7,19,22,32,73,17,18,14,15,64,28,1,0,3,6,6,1,1,0,1,3,2,2,0.8633333333333333,0.955952380952381,0.8174603174603174,0.7767857142857143,1.1225830871271754,24,27,29,18,28,37,75,30,69,30,65,25,40,45,60,65,30,39,74,64,59,15,69,24,20,30,44,60,53,59,64,69,75,40,73,27,20,30,70,72,53,74,70,55,74,26,63,24,25,40,74,89,55,40,38,83,41,59,33,49,46,59,67,74,80,54,0.83776371,0.57067022,33.395018,41.219064,0.60674878,1.3324788,0.69421945,2.0963541,29.065819,44.713911,0.30785885,0.81922894,1.8196216,1.1950004,0.050001488,10,27.88348,51.355618,69.314718,0.43672392,10,16.196661,24.57597,0.41053721,1.465861,0.96128745,10,13.93677,30.695389,0.42643897,0.56873304,1.2996679,3.314416,0.34505001,10,12.781735,37.919663,91.495428,0.42437821,10,274.58357,283.44521,0.23774836,0.29662607,0.45441324,226.97406,240.26651,0.2377542,0.29664721,0.45445107,10,226.97406,244.69733,0.16874502,0.81462019,0.61151184,0.0083381798,1.9452485,10,171.34284,197.92774,0.86834264,248.52198,252.95279,0.96746566,837.71295,841.11415,1.7947159,586.26764,587.37934,0.12934648,6.8640425,149.26087,166.26686,0.53618987,175.83473,177.13841,0.11384082,154.14043,167.74522
